id	bloque	titulo	cuerpo
11	Democràcia Econòmica	Garantia per la llei d’accés a un subministrament mínim	"Desenvoluparem una llei orgànica que garanteixi l’accés a un subministrament mínim. Considerem l’accés a l’energia com un servei públic, independentment que sigui gestionada per institucions públiques o privades. No es procedirà al tall del subministrament d’electricitat o gas quan es tracte de l’habitatge habitual del consumidor i quan l’impagament de la factura sigui originat per motius aliens a la seva voluntat i, particularment, a una situació de pobresa sobrevinguda.
S’establirà un mínim vital d’electricitat i gas mensual per habitatge. Un cop ratificada una situació de pobresa, el pagament d’aquest subministrament mínim vital no podrà suposar més del 10% dels ingressos mensuals de l’habitatge. Els serveis socials determinaran la quantitat exacta que cada habitatge en situació de pobresa ha de pagar pel subministrament mínim. 

El consumidor tindrà dret a les mateixes condicions d’accés al subministrament durant el període d’un any, un dret que es podrà ampliar anualment i de manera indefinida mentre la situació de pobresa persisteixi. Les companyies subministradores no podran repercutir la corresponent caiguda dels seus ingressos a la resta de consumidors o exigir-les a l’Estat."
12	Democràcia Econòmica	Disseny d’una proposta alternativa a l’Estratègia Energètica de la Comissió Europea	Dissenyarem una proposta comunitària alternativa a l’actual Estratègia Energètica de la Comissió Europea, que eviti la promoció del gas natural, la construcció d’infraestructures gasístiques com eix energètic de la Unió Europea i la creació d’una arquitectura legal internacional que augmenti el poder de les grans corporacions energètiques enfront dels Estats (exemplificada pel TTIP, sigles en anglès del Tractat Transatlàntic de Comerç i Inversió).
13	Democràcia Econòmica	Identificació dels costos de transició de la competència	Promourem una declaració de la Comissió Europea en la qual s’identifiquen els costos de transició a la competència (CTC) com ajuda il·legal de l’Estat.
14	Democràcia Econòmica	Participació ciutadana i auditoria per a l’execució de grans infraestructures	"Apostarem per la finalització de les obres de totes les inversions en grans infraestructures que ja estiguin adjudicades ( AVE, autopistes, aeroports, dàrsenes portuàries) i per la paralització de totes les que no hagin estat adjudicades. 

Realitzarem una auditoria de les grans infraestructures per clarificar la naturalesa de les decisions de cada construcció i els seus costos reals, amb la finalitat d’establir responsabilitats i evitar que es repeteixen casos d’aeroports fantasmes, autopistes de peatge buides o iniciatives com el projecte Castor de Castelló. Tanmateix, establirem mecanismes de transparència i participació ciutadana en les contractacions de grans infraestructures. Aquests nous mètodes de decisió inclouran les variables social, ambiental i econòmica, de tal forma que sempre resulten sostenibles en aquests tres àmbits."
15	Democràcia Econòmica	Les bicicletes com a base d’una mobilitat urbana sostenible	"Facilitarem l’accessibilitat dels ciclistes als transports de la xarxa de Rodalies i de Metro en tota l’àrea urbana i metropolitana.

A més, dissenyarem alternatives de gestió financera de les actuals concessions de transports públics. Auditarem els contractes vigents, de forma que s’analitzen les errades comeses i es renegocien els contractes d’operació i manteniment per assegurar la qualitat i la seguretat dels serveis.
Impulsarem els transports elèctrics, especialment en les grans ciutats. "
16	Democràcia Econòmica	Garantia d’accés al transport públic	Assegurarem l’accés al transport públic i garantirem el dret a la mobilitat a totes les persones mitjançant una tarifació especial o gratuïta per a la població en risc de pobresa i exclusió social, així com per als aturats de llarga durada.
17	Democràcia Econòmica	Pacte Nacional per l’Economia Productiva 	Elaborarem un Pacte Nacional per l’Economia Productiva capaç d’impulsar un acord multilateral entre Govern, patronal i sindicats pel desenvolupament industrial, que faci pivotar el centre de gravetat des d’una lògica financera fins a una lògica productiva. D’aquesta manera, situarem al centre de les prioritats industrials la inversió productiva i la generació de valor a mitjà i llarg termini, davant la lògica de la maximització del valor accionarial que s’ha generalitzat en la gestió empresarial. En tot cas, la reindustrialització no pot basar-se en una aposta per la competitivitat a través dels preus, ja que, al basar-se aquesta, de forma exclusiva, en la reducció dels costos laborals i en la contenció de la demanda domèstica, consolida una especialització inadequada incapaç de generar treballs de qualitat i salaris dignes.
18	Democràcia Econòmica	Suport als clústers per revertir el procés de desindustrialització	"Revertirem el procés de desindustrialització, impulsarem una nova diversificació productiva i potenciarem un teixit productiu innovador per al desenvolupament de les pimes, identificant aquells sectors emergents connectats amb les indústries de xarxa.

Els clústers, entesos com a instruments bàsics de cooperació entre les empreses més dinàmiques d’un sector i les administracions públiques, els centres d’investigació i les universitats, han de convertir-se en ferramentes útils per estendre les millors pràctiques, impulsar la innovació i millorar la productivitat global en les empreses del sector. Per a això, promourem una nova connexió entre el que és global i local mitjançant l’impuls dels actuals clústers industrials, la seva vinculació amb plataformes de desenvolupament regional i l’extensió de les bones pràctiques que ja existeixen en algun d’ells.
"
19	Democràcia Econòmica	Augment de la diversificació industrial i aposta pel desenvolupament dels serveis avançats	Augmentarem la diversificació industrial en apostar pel desenvolupament dels serveis avançats, tant els destinats a les empreses (investigació i desenvolupament, enginyeria, disseny, màrqueting, manteniment i reparacions, logística i distribució) com els comercials i financers, en especial als que atenen directament a les relacions entre empreses.
20	Democràcia Econòmica	Creació de comitès estratègics sectorials	Crearem comitès estratègics sectorials que permetran diagnosticar les necessitats de cada àmbit. A través del diàleg amb tots els actors implicats promourem iniciatives destinades a superar els principals reptes de cada sector.
21	Democràcia Econòmica	Impuls d’una política industrial centrada en el desenvolupament de competències específiques	Impulsarem una política industrial centrada tant en el desenvolupament de competències específiques en el terreny dels actius intangibles, l’accés a la tecnologia, als coneixements de gestió en equip i la participació dels treballadors com en la diversificació de la presència geogràfica de les empreses.
22	Democràcia Econòmica	Aposta per clàusules socials i la contractació pública com a instruments de generació de valor social	Potenciarem l’aplicació efectiva de clàusules socials per a l’accés als concursos públics basats en compromisos de creació de treball, desenvolupament local, cohesió social i responsabilitat social corporativa (RSC). Eliminarem les traves i condicions discriminatòries que puguin impedir o perjudicar la competitivitat d’algunes d’aquestes empreses en el seu accés als sistemes de contractació pública, alhora que afavorim els sistemes d’autorització o llicència no sotmesos a la normativa de contractació pública i permesos en les directives europees, per a la provisió de la gestió de serveis socials públics o a càrrec d’entitats sense ànim de lucre.
23	Democràcia Econòmica	Posada a punt de fons d’inversió sobirans de caràcter públic	Posarem en marxa fons d’inversió sobirans de caràcter públic, com també estan fent alguns països europeus, com estratègia per evitar el risc de desnacionalització o desmembrament d’empreses estratègiques i també per impedir que els fons voltor prenguin el control de companyies decisives per al teixit productiu.
24	Democràcia Econòmica	Reforç de la competència en sectors estratègics	Reforçarem la competència en sectors estratègics (sector energètic, sector financer, sector telecomunicacions), la qual cosa provocarà un abaratiment de l’activitat productiva en l’àmbit nacional i permetrà reduir els dèficits competitius estructurals del nostre teixit productiu. Reprendrem, en aquest sentit, les mesures de suport a les energies renovables i el seu rellevant paper en l’àmbit de la investigació i la innovació.
25	Democràcia Econòmica	Modernització dels serveis de les telecomunicacions	Modernitzarem els serveis de les telecomunicacions i, particularment, impulsarem el desplegament de les xarxes de fibra òptica amb una regulació adient que permeti obrir el mercat actual.
26	Democràcia Econòmica	Reorientació de la inversió en infraestructures públiques	Desorientarem la inversió en infraestructures públiques relacionades amb la construcció residencial i el transport per carretera cap a infraestructures productives i tecnològiques que possibiliten la transició al nou model productiu (infraestructures energètiques i de transport col·lectiu, però també de telecomunicacions i subministrament d’aigua, entre d’altres).
27	Democràcia Econòmica	Desenvolupament de la intermodalitat mitjançant la millora de les connexions ferroviàries dels ports	Desenvoluparem la intermodalitat mitjançant la millora de les connexions ferroviàries dels ports. El 60% dels contenidors que es mouen en els cinc principals ports espanyols ho fan en trànsit cap a altres països; per tant, el principal desafiament estratègic és incrementar l’oferta logística-portuària espanyola a través d’una millora en la connexió ferroviària dels ports que els potenciï com un nus intermodal.
28	Democràcia Econòmica	Reorientació del sector de la construcció	Reorientarem el sector de la construcció cap a activitats de rehabilitació, millora de l’eficiència energètica en edificis i construccions, domòtica i adaptació a les noves necessitats socials, per afavorir el sanejament urbanístic.
29	Democràcia Econòmica	Repartiment de la renta agrària i adaptació de la normativa dels sectors agropecuaris i pesquers 	"Reformarem el model de negociació i aplicarem la Política Agrària Comú (PAC) en Espanya amb l’objectiu prioritari de millorar tant el repartiment de la renda agrària com la promoció de l’interès públic i ambiental. Desenvoluparem iniciatives de creació i adaptació normativa dirigides a articular un sector agropecuari i pesquer basat en criteris de diversificació , sostenibilitat, economia social i familiar. A més a més, orientarem la producció extensiva cap a l’aposta estratègica de la sobirania alimentària.

Promourem l’adequació i innovació normativa en el sector pesquer per a complir els objectius socials i ambientals previstos (però encara incomplerts), amb la finalitat de programar transicions graduals entre les diferents arts pesqueres i millorar el disseny de baremació i el repartiment de quotes."
30	Democràcia Econòmica	Programa Nacional d’Introducció a la Investigació	"Estimularem la vocació científica, incentivant l’inici de la carrera científica en joves estudiants amb talent. Amb aquesta finalitat, posarem en marxa un Programa Nacional d’Introducció a la Investigació, orientat a estudiants de grau que hagin destacat durant els últims anys de carrera, amb l’objectiu de què comencen a conèixer i desenvolupar el treball d’investigació. Establirem convenis de col·laboració amb centres d’investigació d’excel·lència del país i comptaren amb el personal laboral de cada centre.  

Aquest programa inclourà criteris específics de paritat i d’igualtat de gènere per a fomentar una major integració de les dones en la carrera investigadora."
31	Democràcia Econòmica	Apropament de la ciència a la societat: Centres d’Innovació Ciutadana	"Per tal d’apropar la ciència a tots els àmbits de la vida diària, proposem, per una banda, la creació dels Centres d’Innovació Ciutadana, els quals serviran com a punt de trobada entre la societat i la ciència als municipis, amb la col·laboració dels ajuntaments i les universitats. Es centraran en la difusió de la ciència, la innovació social i el desenvolupament d’una autèntica ciència ciutadana, una cultura de la curiositat i del saber fer. Per altra banda, proposem la creació de Science Shops, unitats que, en col·laboració amb experts, promouen la investigació mitjançant xerrades, projectes i estudis tècnics per a la resolució de dubtes i els problemes científics concrets de la ciutadania.

Paral·lelament, desenvoluparem una xarxa digital de recursos científics dirigida a tota la societat, amb activitats que es puguin realitzar en família, en centres juvenils, en centres adults, etcètera. 

També generarem llaços entre aquests centres, els centres educatius, les universitats, els centres d’investigació, les empreses científiques i el conjunt de la societat.

S’establiran visites escolars als nuclis de producció científica, una iniciativa que anirà acompanyada d’un treball de difusió dels beneficis socials que suposen aquestes visites.
Es desenvoluparan també activitats de divulgació en centres de majors."
32	Democràcia Econòmica	Redefinició de la carrera investigadora	"-  Dissenyarem una carrera investigadora basada en el mèrit i que ofereixi un progrés laboral previsible a llarg termini.
-  Apostarem per la creació d’una única carrera acadèmica per a la universitat i per als Organismes  Públics d’Investigació (OPIS), mitjançant la unificació dels procediments de contractació, avaluació i mèrit acadèmic.
-  Crearem una carrera professional que inclogui el treball en laboratoris i la gestió de la R+D+i.
-  Inclourem una carrera investigadora hospitalària, independentment de la docència universitària i que reconegui les peculiaritats del context hospitalari.
-  Procedirem a la revisió de l’escala salarial, associada al disseny de la carrera investigadora, per a adaptar-la a les responsabilitats de cada etapa i a la mitjana europea. 
-  Introduirem mesures dirigides a pal·liar la desigualtat de gènere existent, que creix de manera progressiva al llarg de les diferents etapes de la carrera investigadora.
"
33	Democràcia Econòmica	Portal digital d’investigació	"Amb la finalitat d’augmentar la transparència en la investigació pública, crearem un portal digital d’investigació que publicarà la totalitat d’ofertes de projectes, convenis de col·laboració i convocatòries de tot tipus, incloses les de contractació i ocupació realitzades per institucions d’investigació públiques.
El portal recollirà totes les convocatòries públiques d’ R+D+I en un calendari bianual, d’obligat compliment, acordat entre el Govern, les comunitats autònomes i altres agències de finançament públiques.

També inclourà una base de dades d’accés obert amb els perfils d’investigadors i investigadores, grups d’investigació, universitats, OPIS i projectes d’investigació d’àmbit estatal. 

Centralitzarà i publicarà tota la informació estadística del Sistema Espanyol de Ciència, Tecnologia i Innovació (SECTI): nombre d’alumnes i alumnes, pressupostos, projectes, etcètera."
34	Democràcia Econòmica	Aposta per les investigadores i els investigadors sènior 	"-  Augmentarem un 100% totes les convocatòries postdoctorals dependents del Govern central. 
-  Potenciarem la contractació indefinida i avaluable d’investigadores i investigadors principals en l’àmbit espanyol.
-  Ampliarem la llista de centres receptors més enllà dels OPIS amb la inclusió de les universitats i altres institucions públiques d’excel·lència.
-  Definirem i implantarem el model avaluador de les dites incorporacions.
-  Millorarem la difusió i l’impacte de les seves investigacions. 
"
35	Democràcia Econòmica	Garantia de l’accés a la cultura científica	"Garantirem l’accés a la cultura científica, amb independència de la situació personal, econòmica o de l’autonomia funcional:
 
-  Els museus de ciència seran gratuïts durant un dia al mes, per tal d’evitar diferenciacions socials en l’accés.
-  Assegurarem que tots els centres d’investigació, museus, fires i altres esdeveniments científics disposen de plans d’accés per a les persones amb diversitat funcional.
-  Es fomentaran jornades de portes obertes en tots els centres d’investigació i universitats per a la població de qualsevol edat.
-  Els mitjans de comunicació públics oferiran continguts rigorosos i adients, amb la qual cosa s’establirà una forta connexió entre la societat i la comunitat científica. A més a més, es crearan espais de divulgació i debat científic, adaptant-los als diferents grups d’edat dels espectadors."
36	Democràcia Econòmica	Recuperació del talent jove:  convocatòria Margarita Comas  	"Dins del nostre Pla de Rescat de la Ciència, presentem la convocatòria extraordinària d’una partida destinada a la recuperació del talent jove: convocatòria Margarita Comas. Gràcies a aquesta convocatòria, es contractaran joves investigadors que podran establir-se i crear nous laboratoris al nostre país. Els contractes tindran una durada de quatre anys i, quan finalitzi, es podrà concórrer a un procés d’avaluació d’objectius i estabilització laboral mitjançant un contracte indefinit.

Aquesta mesura, junt amb d’altres de llarga projecció que proposem al nostre programa, generarà llocs de treball directes en l’àmbit de la investigació."
37	Democràcia Econòmica	Pacte Estatal per a la Ciència i la Innovació	"La política científica i de la innovació ha de ser considerada com una qüestió d’Estat. Es buscarà un gran acord amb tots els agents i els actors socials per assumir responsabilitats i proposar futures millores d’una manera coordinada, consensuada i independent dels canvis polítics.

La implementació d’aquest pacte implicarà la creació d’una Taula per la Ciència i Innovació. Es buscarà arribar a un compromís amb les empreses per a la contractació de personal front a l’obtenció de beneficis a curt termini, amb els agents financers per facilitar el crèdit necessari per desenvolupar activitats científiques i amb els agents tecnològics i d’investigació per facilitar la transferència de coneixement."
38	Democràcia Econòmica	Promoció de l’activitat innovadora en el teixit empresarial	Facilitarem i promourem la innovació entre les empreses espanyoles, especialment entre les pimes.  Per a això, crearem pols de coneixement i desenvolupament econòmic especialitzats en àrees i àmbits determinats i localitzats en diferents regions de l’Estat. Aquests pols promouran i facilitaran la interacció de tots els protagonistes de la cadena productiva, de manera similar als models internacionals  (Poles a França, Fraunhofer Institutes a Alemanya, Catapult al Regne Unit) i nacionals (MCC-Montdragó Corporació Cooperativa o COVAP a Andalusia). 
39	Democràcia Econòmica	Estímul al retorn del talent científic emigrat	"-  Durem a terme polítiques per a la creació d’ocupació en sectors amb alt valor agregat.
-  Fomentarem el llançament d’ofertes de treball en projectes d’investigació a científics emigrants i investigadors estrangers i promourem la mobilitat i la internacionalització.
-  Concedirem subvencions a les empreses basades en la transferència tecnològica i la innovació social.
-  Convocarem ajudes per a la creació d’empreses i projectes científics, tecnològics i de transferència tecnològica amb ofertes de treball a investigadors espanyols en l’estranger.
"
40	Democràcia Econòmica	Inversió en ciència i en R+D+i responsable	"Tornarem la inversió pública en R+D+i als nivells anteriors a la crisi i apostarem per tornar els objectius d’inversió en R+D+i nacionals a nivells europeus (2% del PIB). L’objectiu serà arribar al 2,7% de la inversió en R+D+i del total dels Pressupostos Generals de l’Estat (PGE) en 2017, i el 3% en 2020. 

Assegurarem que els préstecs de fons públics a empreses desenvolupadores d’ R+D+i s’utilitzen per a allò en el que inicialment s’idearen, i no com a subvencions encobertes, per a la qual cosa controlarem que els fons destinats a la inversió en I+D+I s’executen al 100% d’allò aprovat als PGE."
41	Democràcia Econòmica	Democratització dels OPIS	Alliberarem els OPIS del control polític i fomentarem la governança pròpia de la investigació i la seva projecció a llarg termini. Proposarem una democratització profunda dels OPIS per promoure la seva autonomia de gestió i investigadora. Reformarem els estatuts dels OPIS i implementarem plans estratègics plurianuals adients a cada organisme. La transició cap a la democratització institucional ha d’anar acompanyada d’una correlativa acceptació de responsabilitats i rendiment de comptes.
42	Democràcia Econòmica	Creació d’un observatori per a la defensa de la transparència en l’accés i gestió de les institucions investigadores i universitàries	Amb la finalitat d’acabar amb la falta de transparència, especialment als processos de selecció i accés a les institucions investigadores o universitàries, crearem un observatori per a la defensa de la transparència en l’accés i gestió de les institucions investigadores i universitàries. A més, l’observatori actuarà contra altres problemes sistèmics d’aquestes institucions que provoquen arbitrarietat i injustícies en l’accés a la carrera docent i a la investigadora, com, per exemple, la situació de precarietat del seu personal. L’observatori formarà part d’una futura agència d’avaluació i servirà  de sistema d’alerta sobre els problemes de transparència dels òrgans i processos de les institucions públiques d’investigació i universitats. Serà un organisme obert a la ciutadania i receptiu a queixes sobre la falta de transparència i equitat al sistema espanyol d’investigació.
43	Democràcia Econòmica	Investigació i docència flexibles i autònomes	Promourem una millora del sistema públic d’avaluació docent i investigadora que garanteixi la promoció de la innovació i l’autonomia a tots els nivells de la investigació i l’educació. Canviarem les antigues estructures jeràrquiques piramidals amb designacions (i destitucions) fetes per l’Estat i avançarem cap a una governabilitat basada en la meritocràcia, en la qual els responsables de la gestió hagin de rendir comptes sobre els seus resultats davant el Parlament, davant els propis col·lectius gestionats i davant la societat en general.
44	Democràcia Econòmica	Pla integral de lluita contra el frau	"Engegarem un pla integral de lluita contra el frau que integri les següents actuacions:


-  Desenvolupament d'un estatut bàsic en l’agència Estatal d’administració Tributària (AEAT) per garantir: la seva autonomia, una direcció professional i objectiva, l`ús no partidari de la institució i l’obligació de dissenyar plans estratègics  consistents. El Parlament nomenarà al director general de la EEE.

-  Foment de la coordinació entre les diferents administracions tributàries que operen al nostre territori: es procurarà la seva integració en xarxa, el flux de la informació mitjançant bases de dades integrades i l'adopció d’estratègies i objectius comuns.

-  Aprovació d’una llei anual tributària i de mesures de lluita contra el frau i l’elusió fiscal. Aquesta norma recollirà les modificacions legislatives que es derivin de l’aplicació del contracte (programa a cinc anys de l’abat durant l’exercici de referència). La llei es debatrà i s'aprovarà una vegada celebrat el control anual per part  del Parlament- amb la intervenció de les comunitats autònomes- dels resultats en la gestió dels tributs realitzats per l’AEAT i pels serveis i agències tributàries autonòmiques.

-  Oferta d'ocupació pública. Increment gradual del personal de l’AEAT, d'acord amb les seves possibilitats logístiques i les necessitats de qualificació professional.

-  Constitució d'una comissió d'experts contra el frau fiscal que proposi mesures de contenció de la volatilitat fiscal, l'evasió, l'erosió de bases i el trasllat de beneficis.

-  Aprovació d'un paquet de mesures contra els paradisos fiscals en el qual s'abordin els següents aspectes: mesures per conèixer els titulars dels comptes bancaris en paradisos fiscals, mesures sobre transparència i finançament, mesures de supervisió i control, i mesures sancionadores. Aquestes mesures es desenvoluparan amb especial atenció en el cas dels grups multinacionals.

-  Eliminació de pantalles tributàries. Es revisarà la fiscalitat de les sicav, les societats de capital de risc i les Entitats de Tinença de Valors Estrangers (ETVE) per vetllar per la inversió productiva i l'equitat fiscal. Es revisarà la redacció dels convenis amb la finalitat d'evitar la doble imposició per incorporar normes antielusió."
45	Democràcia Econòmica	Ampliació a deu anys del termini de prescripció dels delictes fiscals	Tipificació del delicte fiscal a partir de 50.000 euros defraudats. Rebaixarem i homogeneïtzarem la quantia per considerar objectivament la comissió d'un presumpte delicte fiscal amb les establertes respecte a les defraudacions als pressupostos de la Unió Europea i a la Seguretat Social en 50 000 euros, per a això ampliarem el termini de prescripció a deu anys i aplicarem les penes previstes actualment per al tipus agreujat quan l'import del defraudat superi els 120 000 euros.
46	Democràcia Econòmica	Reforma de l’IRPF	"Reformarem l'impost sobre la renda de les persones físiques (IRPF) amb l'ampliació del nombre i els tipus de trams en les rendes de més de 60.000 euros anuals:


-  Augmentarem el nombre de trams de l'IRPF a partir de 60.000 euros, i elevarem progressivament el tipus marginal de cada tram des del 45% actual fins a aconseguir un tipus marginal del 55% per a rendes superiors a 300.000 euros anuals.

-  Eliminarem les deduccions que tenen un caràcter més regressiu, perquè d'elles es beneficien pocs contribuents, els que estan situats, sobretot, en els trams alts de renda. En tot cas, els beneficis fiscals prioritzaran la protecció de les condicions de vida individuals i familiars.

-  Corregirem progressivament la dualitat de la tarifa entre rendes del treball i estalvi i la falta de progressivitat d'aquesta última, per avançar cap a una tarifa única. L'actual situació provoca desigualtat horitzontal i vertical.

-  Eliminarem, amb caràcter general, el règim d'estimació objectiva en matèria d'activitats econòmiques, perquè genera, d'una banda, oportunitats de frau i elusió i, per un altre, desigualtats injustificables. Aquest règim manca de sentit en un país com Espanya on totes les empreses, fins i tot les més petites, són capaces de portar registres comptables."
47	Democràcia Econòmica	Recuperació del gravamen efectiu en l'impost sobre el patrimoni i en l'impost sobre successions i donacions	"Recuperarem el gravamen efectiu en els impostos sobre el patrimoni i sobre les successions i donacions. El Segon d'aquests impostos, el de successions i donacions, recaurà en grups amb alt nivell de renda.
Harmonitzarem amb les comunitats autònomes les normes que regulen  tots dos tributs, que hauran de ser aplicats en tot l'Estat, per motius d'equitat i de lluita contra el frau. S'establirà, a més, una tributació mínima no bonificable.


Disminuirem el mínim exempt en l'impost del patrimoni a 400.000 euros nets, enfront dels 700.000 euros aplicables de manera general, i revisarem les deduccions i bonificacions existents. El primer habitatge seguirà estant exempta en el càlcul de l'impost fins a un valor de 300.000 euros.


Afavorirem, de forma coordinada amb totes les comunitats autònomes, la derogació de les bonificacions en l'impost sobre successions i donacions, que en la pràctica han eliminat o reduït substancialment per a grups amb un alt nivell de renda. Revisarem la quantia del patrimoni previ dels hereus utilitzada per fixar la tarifa de l'impost amb l'objectiu d’assegurar que les situacions de pobresa no siguin determinants en les renúncies no desitjades a l’herència.


Acabarem amb les sicav tal com les coneixem fins ara: regularem el seu règim fiscal per evitar que actuïn com a pantalles d’elusió fiscal de les grans fortunes. Per a això, controlarem el nombre real i efectiu de socis, i establirem un període màxim de permanència per a les plusvàlues acumulades, així com un percentatge de participació màxim per a cada inversor. Igualment, establirem un límit màxim d'aportació per a cadascun dels inversors. A més, atribuirem a l’AEAT la facultat per comprovar el compliment d'aquests requisits i per a això arbitrarem un pla especial per regularitzar les situacions fraudulentes que actualment s'observen en el sector. Quan l’AEAT comprovi que aquests requisits no es compleixen i que, per tant, una determinada sicav no és real ni efectivament una institució d'inversió col·lectiva, llavors resultarà d'aplicació el tipus general de l'impost de societats."
